"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV","Class1Volume","Class2Volume","Class3Volume","Class4Volume","Class5Volume","Class6Volume","Class7Volume","Class8Volume","Class9Volume","Class10Volume"
2020-01-01 00:00:00,="000000001425",1,"Eastbound_NS",1,"East",100,16,"Holiday",24711,20,0,98,0,2,0,0,0,0,0,0
2020-01-01 00:00:00,="000000001425",2,"Eastbound_OS",1,"East",9,16,"Holiday",29784,0,0,9,0,0,0,0,0,0,0,0
2020-01-01 00:00:00,="000000001425",3,"Westbound_OS",2,"West",27,16,"Holiday",27829,0,0,27,0,0,0,0,0,0,0,0
2020-01-01 00:00:00,="000000001425",4,"Westbound_NS",2,"West",97,16,"Holiday",24046,0,0,97,0,0,0,0,0,0,0,0
2020-01-01 00:00:00,="000000001425",5,"Eastbound_Cycle",1,"East",0,16,"Holiday",24046,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 00:00:00,="000000001425",6,"Westbound_Cycle",2,"West",1,16,"Holiday",4167,0,0,0,0,0,0,0,0,1,0,0
2020-01-01 01:00:00,="000000001425",1,"Eastbound_NS",1,"East",158,16,"Holiday",25557,6,0,156,1,1,0,0,0,0,0,0
2020-01-01 01:00:00,="000000001425",2,"Eastbound_OS",1,"East",18,16,"Holiday",29151,0,0,18,0,0,0,0,0,0,0,0
2020-01-01 01:00:00,="000000001425",3,"Westbound_OS",2,"West",27,16,"Holiday",28961,37,0,26,0,1,0,0,0,0,0,0
2020-01-01 01:00:00,="000000001425",4,"Westbound_NS",2,"West",113,16,"Holiday",23830,18,0,111,0,2,0,0,0,0,0,0
2020-01-01 01:00:00,="000000001425",5,"Eastbound_Cycle",1,"East",0,16,"Holiday",23830,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 01:00:00,="000000001425",6,"Westbound_Cycle",2,"West",0,16,"Holiday",23830,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 02:00:00,="000000001425",1,"Eastbound_NS",1,"East",90,16,"Holiday",25670,33,0,87,0,2,1,0,0,0,0,0
2020-01-01 02:00:00,="000000001425",2,"Eastbound_OS",1,"East",9,16,"Holiday",28210,0,0,9,0,0,0,0,0,0,0,0
2020-01-01 02:00:00,="000000001425",3,"Westbound_OS",2,"West",17,16,"Holiday",29248,0,0,17,0,0,0,0,0,0,0,0
2020-01-01 02:00:00,="000000001425",4,"Westbound_NS",2,"West",58,16,"Holiday",24559,17,0,57,0,1,0,0,0,0,0,0
2020-01-01 02:00:00,="000000001425",5,"Eastbound_Cycle",1,"East",1,16,"Holiday",6389,0,0,0,0,0,0,0,0,1,0,0
2020-01-01 02:00:00,="000000001425",6,"Westbound_Cycle",2,"West",0,16,"Holiday",6389,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 03:00:00,="000000001425",1,"Eastbound_NS",1,"East",62,16,"Holiday",24848,16,0,61,0,1,0,0,0,0,0,0
2020-01-01 03:00:00,="000000001425",2,"Eastbound_OS",1,"East",4,16,"Holiday",27847,0,0,4,0,0,0,0,0,0,0,0
2020-01-01 03:00:00,="000000001425",3,"Westbound_OS",2,"West",11,16,"Holiday",28485,0,0,11,0,0,0,0,0,0,0,0
2020-01-01 03:00:00,="000000001425",4,"Westbound_NS",2,"West",78,16,"Holiday",24979,26,0,75,1,1,1,0,0,0,0,0
2020-01-01 03:00:00,="000000001425",5,"Eastbound_Cycle",1,"East",0,16,"Holiday",24979,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 03:00:00,="000000001425",6,"Westbound_Cycle",2,"West",0,16,"Holiday",24979,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 04:00:00,="000000001425",1,"Eastbound_NS",1,"East",55,16,"Holiday",25111,36,0,53,0,1,1,0,0,0,0,0
2020-01-01 04:00:00,="000000001425",2,"Eastbound_OS",1,"East",4,16,"Holiday",30486,0,0,4,0,0,0,0,0,0,0,0
2020-01-01 04:00:00,="000000001425",3,"Westbound_OS",2,"West",12,16,"Holiday",28565,0,0,12,0,0,0,0,0,0,0,0
2020-01-01 04:00:00,="000000001425",4,"Westbound_NS",2,"West",81,16,"Holiday",24390,37,0,78,0,2,1,0,0,0,0,0
2020-01-01 04:00:00,="000000001425",5,"Eastbound_Cycle",1,"East",0,16,"Holiday",24390,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 04:00:00,="000000001425",6,"Westbound_Cycle",2,"West",1,16,"Holiday",7500,0,0,0,0,0,0,0,0,1,0,0
2020-01-01 05:00:00,="000000001425",1,"Eastbound_NS",1,"East",66,16,"Holiday",23750,76,0,61,0,0,5,0,0,0,0,0
2020-01-01 05:00:00,="000000001425",2,"Eastbound_OS",1,"East",8,16,"Holiday",23993,0,0,8,0,0,0,0,0,0,0,0
2020-01-01 05:00:00,="000000001425",3,"Westbound_OS",2,"West",8,16,"Holiday",26736,0,0,8,0,0,0,0,0,0,0,0
2020-01-01 05:00:00,="000000001425",4,"Westbound_NS",2,"West",107,16,"Holiday",24317,0,0,107,0,0,0,0,0,0,0,0
2020-01-01 05:00:00,="000000001425",5,"Eastbound_Cycle",1,"East",0,16,"Holiday",24317,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 05:00:00,="000000001425",6,"Westbound_Cycle",2,"West",0,16,"Holiday",24317,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 06:00:00,="000000001425",1,"Eastbound_NS",1,"East",87,16,"Holiday",24227,80,0,79,1,1,6,0,0,0,0,0
2020-01-01 06:00:00,="000000001425",2,"Eastbound_OS",1,"East",3,16,"Holiday",28426,0,0,3,0,0,0,0,0,0,0,0
2020-01-01 06:00:00,="000000001425",3,"Westbound_OS",2,"West",22,16,"Holiday",28763,0,1,21,0,0,0,0,0,0,0,0
2020-01-01 06:00:00,="000000001425",4,"Westbound_NS",2,"West",113,16,"Holiday",25000,44,0,108,0,1,4,0,0,0,0,0
2020-01-01 06:00:00,="000000001425",5,"Eastbound_Cycle",1,"East",0,16,"Holiday",25000,0,0,0,0,0,0,0,0,0,0,0
